"Cycle","Well","RFU","Replicate","Sample"
"164",27.8666666666667,"A6",8852.91988672034,"1","G"
"165",28.5,"A6",8825.47855083465,"1","G"
"166",29.1333333333333,"A6",8801.09849304897,"1","G"
"167",29.7666666666667,"A6",8782.53445119956,"1","G"
"168",30.4,"A6",8755.1693956746,"1","G"
"169",31.0333333333333,"A6",8738.00359598813,"1","G"
"170",31.6666666666667,"A6",8713.4425968795,"1","G"
"171",32.3,"A6",8697.19675346215,"1","G"
"172",32.9333333333333,"A6",8676.27183727769,"1","G"
"173",33.5666666666667,"A6",8670.98734929311,"1","G"
"174",34.2,"A6",8653.56926186164,"1","G"
"175",34.8333333333333,"A6",8654.21040166918,"1","G"
"176",35.4666666666667,"A6",8640.85423352394,"1","G"
"177",36.1,"A6",8632.63070461515,"1","G"
"178",36.7333333333333,"A6",8630.1118406982,"1","G"
"179",37.3666666666667,"A6",8627.15682877278,"1","G"
"180",38,"A6",8625.0642780756,"1","G"
"181",0.633333333333333,"A7",2771.59312614169,"1","F"
"182",1.26666666666667,"A7",2760.80821824558,"1","F"
"183",1.9,"A7",2749.9334431602,"1","F"
"184",2.53333333333333,"A7",2734.07792371432,"1","F"
"185",3.16666666666667,"A7",2713.11304337589,"1","F"
"186",3.8,"A7",2711.73327463989,"1","F"
"187",4.43333333333333,"A7",2742.01269646945,"1","F"
"188",5.06666666666667,"A7",2778.64933599173,"1","F"
"189",5.7,"A7",2798.58777889911,"1","F"
"190",6.33333333333333,"A7",2810.7514847,"1","F"
"191",6.96666666666667,"A7",2827.36866768589,"1","F"
"192",7.6,"A7",2839.08609958542,"1","F"
"193",8.23333333333333,"A7",2840.08442722058,"1","F"
"194",8.86666666666667,"A7",2841.71377786537,"1","F"
"195",9.5,"A7",2850.34312110828,"1","F"
"196",10.1333333333333,"A7",2849.88501196005,"1","F"
"197",10.7666666666667,"A7",2854.86156494751,"1","F"
"198",11.4,"A7",2853.91732120568,"1","F"
"199",12.0333333333333,"A7",2857.22660965132,"1","F"
